"person_id","income_year2000","income_year2001","income_year2002","income_year2003","income_year2004","income_year2005","income_year2006","income_year2007","income_year2008","income_year2009","income_year2010","gender","occupation_busdriver","occupation_cashier","occupation_nurse"
"1","23.93","25.16","26.22","28.71","31.1","31.88","33.04","34.79","36.65","38.55","40.54","Female","0","1","0"
"2","24.32","25.46","26.98","27.53","29.23","30.82","32.71","34.41","37.05","38.29","39.8","Female","0","1","0"
"3","32.2","34.47","36.1","37.77","37.42","39.92","41.01","41.27","43.42","45.91","45.76","Female","1","0","0"
"4","20.17","21.87","24.44","26.82","26.69","29.53","31.76","32.72","34.1","35.1","36.7","Female","0","1","0"
"5","26.16","25.36","26.2","26.57","27.89","29.36","30.05","32.1","33.63","35.9","38.2","Female","0","0","1"
"6","35.14","36.9","36.73","39.69","40.83","43.14","43.99","46.27","47.86","49.08","49.16","Female","0","0","1"
"7","18.59","20.8","20.93","22.69","23.2","24.57","25.18","25.13","27.76","28.42","30.68","Female","0","1","0"
"8","20.92","22.86","24.36","25.54","27.86","29.32","31.6","32.38","34.17","35.76","36.76","Female","0","1","0"
"9","18.25","19","19.36","21.06","23.63","22.4","22.56","23.02","24.19","23.38","25.1","Female","0","1","0"
"10","25.82","25.45","27.58","30.27","32.89","34.03","35.11","35.72","36.92","37.78","39.97","Female","0","0","1"
"11","14.31","14.01","15.58","15.6","17.55","19.1","20.73","21.5","22.77","24.13","25.37","Female","0","1","0"
"12","23.53","26.24","29.6","29.66","33.9","36.08","36.37","37.76","37.73","40.9","42.65","Female","1","0","0"
"13","37.45","41.01","42.47","44.3","46.07","48","47.39","49.53","50.86","51.38","53.03","Female","0","0","1"
"14","23.01","23.77","24.99","25.9","28.34","28.56","28.69","28.98","29.81","31.71","33.17","Female","0","1","0"
"15","24.26","24.92","26","28.64","30.54","30.71","33.85","35.38","37.56","39.33","42.26","Female","0","0","1"
"16","21.76","25.14","25.76","27.94","29.68","32.09","31.81","33.59","37.08","36.84","37.1","Female","0","1","0"
"17","11.25","11.67","11.35","12.54","13.03","13.56","14.16","13.72","13.86","15.35","16.92","Female","0","1","0"
"18","35.11","36.44","37.42","39.92","40.22","42.23","44.56","46.22","46.83","47.2","48.87","Female","0","0","1"
"19","14.04","15.08","15.56","16.62","18.52","20.14","23.17","25.16","27.38","27.66","28.63","Female","0","1","0"
"20","13.48","13.69","15.39","16.34","18.62","18.67","18.68","20.16","19.84","20.75","20.9","Female","0","1","0"
"21","26.86","28.45","31.48","33.52","33.99","35.95","38.99","39.93","42.83","44.33","45.86","Female","0","0","1"
"22","20.52","22.3","23.37","24.52","25.49","26.3","29.02","30.11","31.97","33.62","34.3","Female","0","1","0"
"23","23.5","24.56","25.22","27.31","27.7","29.84","31.55","33.36","35.75","38.46","39.58","Female","0","1","0"
"24","30.58","33.42","35.24","35.07","36.44","38.14","38.45","39.21","42.59","42.43","45.68","Female","0","0","1"
"25","25.38","26.23","27.41","28.65","29.82","30.29","30.93","32.54","34.13","36.92","39.59","Female","0","1","0"
"26","36.04","37.99","38.72","39.98","40.02","43.01","44.73","46.82","48.86","50.38","52.83","Female","0","0","1"
"27","7.46","7.48","8.7","10.24","12.06","13.7","14.23","14.88","15.87","17.31","18.94","Female","0","1","0"
"28","17.29","18.7","19.54","20.61","20.81","20.43","20.68","20.88","21.16","23.96","25.18","Female","0","1","0"
"29","26.02","27.55","30.73","33.07","34.03","36.52","37.1","38.8","40.59","41.44","42.82","Female","0","0","1"
"30","27.18","28.8","30.61","31.82","35.18","36.58","36.34","37.06","38.81","39.19","39.43","Female","0","0","1"
"31","22.98","24.24","24.58","25.61","27.69","28.38","30.22","32.22","32.33","32.15","33.29","Female","1","0","0"
"32","26.71","26.21","26.98","27.21","27.55","29.73","30.51","32.34","33.52","34.4","34.71","Female","0","1","0"
"33","23.07","24.75","24.68","24.79","25.5","26.82","30.06","31.05","33.08","34.72","37.92","Female","0","1","0"
"34","20.79","22.92","21.76","24.14","25.31","27.7","28.23","29.75","30.2","31.25","33.91","Female","1","0","0"
"35","12.94","13.37","15.24","16.6","18.05","18.88","22.25","23.68","23.73","24.29","26.1","Female","0","1","0"
"36","23.42","26.42","26.91","27.87","31.87","34.2","35.26","36.87","37.61","39.83","41.46","Female","0","0","1"
"37","24.21","24.3","25.99","25.8","28.23","29.26","29.82","29.92","32.86","33.42","33.73","Female","1","0","0"
"38","17.61","20.37","21.86","23.28","24.98","27.84","27.56","28.69","31.74","32.8","33.74","Female","0","1","0"
